COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision,Estimated re-assessment,Domain,Unique_ID,Domain_status,Taxonomic group_status,Scientific name_status,COSEWIC common name_status,COSEWIC population_status,COSEWIC status_status,Scheduled Assessment,Range_status
Rocky Mountain Capshell,Eastern population,Data Deficient,2001-11-01,Acroloxus coloradensis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Ontario, Quebec",Molluscs,NA,NA,2011-11-01,Aquatic,Acroloxus coloradensis - Rocky Mountain Capshell (Eastern population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Rocky Mountain Capshell,Western population,Not at Risk,2001-11-01,Acroloxus coloradensis,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia",Molluscs,NA,NA,2011-11-01,Aquatic,Acroloxus coloradensis - Rocky Mountain Capshell (Western population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Mountain Crab-eye,NA,Special Concern,2016-04-29,Acroscyphus sphaerophoroides,Mountain Crab-eye,NA,Special Concern,2019-02-25,Schedule 1,2019-02-25,British Columbia,Lichens,NA,Added to list,2026-04-29,Terrestrial,Acroscyphus sphaerophoroides - Mountain Crab-eye,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Tall Bugbane,NA,Endangered,2018-04-27,Actaea elata,Tall Bugbane,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,NA,Added to list,2028-04-27,Terrestrial,Actaea elata - Tall Bugbane,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northwestern Pond Turtle,NA,Extirpated,2023-05-05,Actinemys marmorata,Pacific Pond Turtle,NA,Extirpated,2005-01-12,Schedule 1,2005-01-12,British Columbia,Reptiles,NA,Added to list,2033-05-05,Terrestrial,Actinemys marmorata - Northwestern Pond Turtle,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Southern Maidenhair Fern,NA,Endangered,2011-05-06,Adiantum capillus-veneris,Southern Maidenhair Fern,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,NA,Added to list,2021-05-06,Terrestrial,Adiantum capillus-veneris - Southern Maidenhair Fern,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Grebe,NA,Special Concern,2014-05-02,Aechmophorus occidentalis,Western Grebe,NA,Special Concern,2017-11-02,Schedule 1,2017-11-02,"Alberta, British Columbia, Manitoba, Saskatchewan",Birds,NA,Added to list,2024-05-02,Terrestrial,Aechmophorus occidentalis - Western Grebe,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Saw-whet Owl brooksi subspecies,NA,Threatened,2017-11-01,Aegolius acadicus brooksi,Northern Saw-whet Owl brooksi subspecies,NA,Threatened,2007-12-13,Schedule 1,2007-12-13,British Columbia,Birds,NA,Added to list,2027-11-01,Terrestrial,Aegolius acadicus brooksi - Northern Saw-whet Owl brooksi subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Boreal Owl,NA,Not at Risk,1995-04-01,Aegolius funereus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,NA,NA,2005-04-01,Terrestrial,Aegolius funereus - Boreal Owl,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Red-tailed Leafhopper,Great Lakes Plains population,Special Concern,2017-11-01,Aflexia rubranura,Red-tailed Leafhopper,Great Lakes Plains population,Special Concern,2021-04-23,Schedule 1,2021-04-23,Ontario,Arthropods,NA,Added to list,2027-11-01,Terrestrial,Aflexia rubranura - Red-tailed Leafhopper (Great Lakes Plains population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
