COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule 1 status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision,Estimated re-assessment,Domain,Unique_ID,Domain_status,Taxonomic group_status,Scientific name_status,COSEWIC common name_status,COSEWIC population_status,COSEWIC status_status,Scheduled Assessment,Range_status
Peary Caribou,original designation,Non-active,1991-04-01,Rangifer tarandus pearyi,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Northwest Territories, Nunavut",Mammals (terrestrial),NA,NA,2001-04-01,Terrestrial,Rangifer tarandus pearyi - Peary Caribou (original designation),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Water-plantain Buttercup,NA,Endangered,2009-04-26,Ranunculus alismifolius,Water-plantain Buttercup,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,NA,Added to list,2019-04-26,Terrestrial,Ranunculus alismifolius - Water-plantain Buttercup,NA,NA,NA,NA,NA,NA,9999-01-01,NA
California Buttercup,NA,Endangered,2008-11-28,Ranunculus californicus,California Buttercup,NA,Endangered,2011-02-04,Schedule 1,2011-02-04,British Columbia,Vascular Plants,NA,Added to list,2018-11-28,Terrestrial,Ranunculus californicus - California Buttercup,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Queensnake,NA,Endangered,2010-04-25,Regina septemvittata,Queensnake,NA,Endangered,2012-06-20,Schedule 1,2003-06-05,Ontario,Reptiles,NA,Uplisted: Threatened to endangered,2020-04-25,Terrestrial,Regina septemvittata - Queensnake,Terrestrial,Reptiles,Regina septemvittata,Queensnake,NA,Endangered,2026-November-01,"CWS, ON, Parks"
Western Harvest Mouse dychei subspecies,NA,Endangered,2019-11-29,Reithrodontomys megalotis dychei,Western Harvest Mouse dychei subspecies,NA,Endangered,2009-03-05,Schedule 1,2009-03-05,Alberta,Mammals (terrestrial),NA,Added to list,2029-11-29,Terrestrial,Reithrodontomys megalotis dychei - Western Harvest Mouse dychei subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Western Harvest Mouse megalotis subspecies,NA,Endangered,2019-11-29,Reithrodontomys megalotis megalotis,Western Harvest Mouse megalotis subspecies,NA,Special Concern,9999-01-01,Schedule 1,2009-03-05,British Columbia,Mammals (terrestrial),Status change,Pending,2029-11-29,Terrestrial,Reithrodontomys megalotis megalotis - Western Harvest Mouse megalotis subspecies,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Nooksack Dace,NA,Endangered,2018-11-01,Rhinichthys cataractae,Nooksack Dace,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,British Columbia,Fishes (freshwater),NA,Added to list,2028-11-01,Aquatic,Rhinichthys cataractae - Nooksack Dace,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Banff Longnose Dace,NA,Extinct,2000-05-01,Rhinichthys cataractae smithi,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Alberta,Fishes (freshwater),NA,NA,2010-05-01,Aquatic,Rhinichthys cataractae smithi - Banff Longnose Dace,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Leopard Dace,NA,Not at Risk,1990-04-01,Rhinichthys falcatus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Fishes (freshwater),NA,NA,2000-04-01,Aquatic,Rhinichthys falcatus - Leopard Dace,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Speckled Dace,NA,Endangered,2016-11-27,Rhinichthys osculus,Speckled Dace,NA,Endangered,2009-03-05,Schedule 1,2009-03-05,British Columbia,Fishes (freshwater),NA,Added to list,2026-11-27,Aquatic,Rhinichthys osculus - Speckled Dace,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Umatilla Dace,NA,Threatened,2010-04-25,Rhinichthys umatilla,Umatilla Dace,NA,NA,9999-01-01,NA,9999-01-01,British Columbia,Fishes (freshwater),NA,NA,2020-04-25,Aquatic,Rhinichthys umatilla - Umatilla Dace,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Pacific Rhododendron,NA,Not at Risk,1997-04-01,Rhododendron macrophyllum,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Vascular Plants,NA,NA,2007-04-01,Terrestrial,Rhododendron macrophyllum - Pacific Rhododendron,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Ross's Gull,NA,Endangered,2021-05-05,Rhodostethia rosea,Ross's Gull,NA,Threatened,9999-01-01,Schedule 1,2003-06-05,"Arctic Ocean, Atlantic Ocean, Manitoba, Newfoundland and Labrador, Nunavut",Birds,Status change,Pending,2031-05-05,Terrestrial,Rhodostethia rosea - Ross's Gull,NA,NA,NA,NA,NA,NA,9999-01-01,NA
McCown's Longspur,NA,Threatened,2016-04-29,Rhynchophanes mccownii,McCown's Longspur,NA,Threatened,2019-05-22,Schedule 1,2007-12-13,"Alberta, Saskatchewan",Birds,NA,Uplisted: Special Concern to threatened,2026-04-29,Terrestrial,Rhynchophanes mccownii - McCown's Longspur,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Tall Beakrush,NA,Endangered,2014-11-28,Rhynchospora macrostachya,Tall Beakrush,NA,Endangered,2019-02-25,Schedule 1,2019-02-25,Nova Scotia,Vascular Plants,NA,Added to list,2024-11-28,Terrestrial,Rhynchospora macrostachya - Tall Beakrush,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bank Swallow,NA,Threatened,2013-05-03,Riparia riparia,Bank Swallow,NA,Threatened,2017-11-02,Schedule 1,2017-11-02,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,NA,Added to list,2023-05-03,Terrestrial,Riparia riparia - Bank Swallow,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Climbing Prairie Rose,NA,Special Concern,2003-05-01,Rosa setigera,Climbing Prairie Rose,NA,Special Concern,2005-01-12,Schedule 1,2005-01-12,Ontario,Vascular Plants,NA,Added to list,2013-05-01,Terrestrial,Rosa setigera - Climbing Prairie Rose,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Toothcup,NA,Non-active,2014-11-28,Rotala ramosior,Toothcup,NA,No Status,2019-02-25,No schedule,2003-06-05,"British Columbia, Ontario",Vascular Plants,NA,Struck - WS reassignment,2024-11-28,Terrestrial,Rotala ramosior - Toothcup,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Toothcup,Great Lakes Plains population,Threatened,2014-11-28,Rotala ramosior,Toothcup,Great Lakes Plains population,Threatened,2019-02-25,Schedule 1,2003-06-05,Ontario,Vascular Plants,NA,Downlisted: Endangered to threatened,2024-11-28,Terrestrial,Rotala ramosior - Toothcup (Great Lakes Plains population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Toothcup,Southern Mountain population,Endangered,2014-11-28,Rotala ramosior,Toothcup,Southern Mountain population,Endangered,9999-01-01,Schedule 1,2003-06-05,British Columbia,Vascular Plants,NA,NA,2024-11-28,Terrestrial,Rotala ramosior - Toothcup (Southern Mountain population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Plymouth Gentian,NA,Endangered,2012-11-25,Sabatia kennedyana,Plymouth Gentian,NA,Endangered,2018-02-02,Schedule 1,2003-06-05,Nova Scotia,Vascular Plants,NA,Uplisted: Threatened to endangered,2022-11-25,Terrestrial,Sabatia kennedyana - Plymouth Gentian,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Sand-dune Short-capsuled Willow,NA,Special Concern,2018-04-27,Salix brachycarpa var. psammophila,Sand-dune Short-capsuled Willow,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,Saskatchewan,Vascular Plants,NA,Added to list,2028-04-27,Terrestrial,Salix brachycarpa var. psammophila - Sand-dune Short-capsuled Willow,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Green-scaled Willow,NA,Threatened,2020-11-04,Salix chlorolepis,Green-scaled Willow,NA,Threatened,2007-12-13,Schedule 1,2007-12-13,Quebec,Vascular Plants,NA,Added to list,2030-11-04,Terrestrial,Salix chlorolepis - Green-scaled Willow,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Barrens Willow,NA,Endangered,2001-05-01,Salix jejuna,Barrens Willow,NA,Endangered,2003-06-05,Schedule 1,2003-06-05,Newfoundland and Labrador,Vascular Plants,NA,Added to list,2011-05-01,Terrestrial,Salix jejuna - Barrens Willow,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Blanket-leaved Willow,NA,Special Concern,2018-04-27,Salix silicicola,Blanket-leaved Willow,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,Saskatchewan,Vascular Plants,NA,Added to list,2028-04-27,Terrestrial,Salix silicicola - Blanket-leaved Willow,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Turnor's Willow,NA,Special Concern,2018-04-27,Salix turnorii,Turnor's Willow,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,Saskatchewan,Vascular Plants,NA,Added to list,2028-04-27,Terrestrial,Salix turnorii - Turnor's Willow,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Tyrrell's Willow,NA,Not at Risk,1999-04-01,Salix tyrrellii,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Northwest Territories, Nunavut, Saskatchewan",Vascular Plants,NA,NA,2009-04-01,Terrestrial,Salix tyrrellii - Tyrrell's Willow,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Atlantic Salmon,Anticosti Island population,Endangered,2010-11-26,Salmo salar,Atlantic Salmon,Anticosti Island population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Quebec",Fishes (marine),Addition,Pending,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Anticosti Island population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Anticosti Island population,Endangered,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, Parks, QC"
Atlantic Salmon,Eastern Cape Breton population,Endangered,2010-11-26,Salmo salar,Atlantic Salmon,Eastern Cape Breton population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Nova Scotia",Fishes (marine),Addition,Pending,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Eastern Cape Breton population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Eastern Cape Breton population,Endangered,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, NS, Parks"
Atlantic Salmon,Gaspe-Southern Gulf of St. Lawrence population,Special Concern,2010-11-26,Salmo salar,Atlantic Salmon,Gaspe-Southern Gulf of St. Lawrence population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, New Brunswick, Nova Scotia, Prince Edward Island, Quebec",Fishes (marine),Addition,Pending,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Gaspe-Southern Gulf of St. Lawrence population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Gaspe-Southern Gulf of St. Lawrence population,Special Concern,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, NB, NS, Parks, PE, QC"
Atlantic Salmon,Inner Bay of Fundy population,Endangered,2010-11-26,Salmo salar,Atlantic Salmon,Inner Bay of Fundy population,Endangered,2003-06-05,Schedule 1,2003-06-05,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (marine),NA,Added to list,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Inner Bay of Fundy population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Inner Bay of Fundy population,Endangered,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, NB, NS, Parks"
Atlantic Salmon,Inner St. Lawrence population,Special Concern,2010-11-26,Salmo salar,Atlantic Salmon,Inner St. Lawrence population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Quebec",Fishes (marine),Addition,Pending,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Inner St. Lawrence population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Inner St. Lawrence population,Special Concern,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, Parks, QC"
Atlantic Salmon,Labrador population,Not at Risk,2010-11-26,Salmo salar,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Newfoundland and Labrador, Quebec",Fishes (marine),NA,NA,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Labrador population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Atlantic Salmon,Lake Ontario population,Extinct,2010-11-26,Salmo salar,Atlantic Salmon,Lake Ontario population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Ontario",Fishes (marine),NA,NA,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Lake Ontario population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Lake Ontario population,Extinct,2025-November-01,"CWS, DFO, ON, Parks"
Atlantic Salmon,Northeast Newfoundland population,Not at Risk,2010-11-26,Salmo salar,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),NA,NA,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Northeast Newfoundland population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Northeast Newfoundland population,Not at Risk,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, NL, Parks"
Atlantic Salmon ,Northern Labrador population,Not at Risk,9999-01-01,Salmo salar,NA,NA,NA,9999-01-01,NA,9999-01-01,"Atlantic Ocean, CWS, DFO, NL, Parks, QC, TJFB",Fishes (marine),NA,NA,9999-01-01,Aquatic,Salmo salar - Atlantic Salmon (Northern Labrador population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Northern Labrador population,Not at Risk,2025-November-01,"Atlantic Ocean, CWS, DFO, NL, Parks, QC, TJFB"
Atlantic Salmon,Northwest Newfoundland population,Not at Risk,2010-11-26,Salmo salar,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),NA,NA,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Northwest Newfoundland population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Northwest Newfoundland population,Not at Risk,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, NL, Parks"
Atlantic Salmon ,Nova Scotia Southern Upland East population,Endangered,9999-01-01,Salmo salar,NA,NA,NA,9999-01-01,NA,9999-01-01,"Atlantic Ocean, CMN, CWS, DFO, NS, Parks",Fishes (marine),NA,NA,9999-01-01,Aquatic,Salmo salar - Atlantic Salmon (Nova Scotia Southern Upland East population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Nova Scotia Southern Upland East population,Endangered,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, NS, Parks"
Atlantic Salmon,Nova Scotia Southern Upland population,Endangered,2010-11-26,Salmo salar,Atlantic Salmon,Nova Scotia Southern Upland population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Nova Scotia",Fishes (marine),Addition,Pending,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Nova Scotia Southern Upland population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Atlantic Salmon,Nunavik population,Data Deficient,2010-11-26,Salmo salar,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Newfoundland and Labrador, Quebec",Fishes (marine),NA,NA,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Nunavik population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Nunavik population,Data Deficient,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, HFTCC, NL, NMRWB, Parks, QC, TJFB, TWPCB"
Atlantic Salmon,Outer Bay of Fundy population,Endangered,2010-11-26,Salmo salar,Atlantic Salmon,Outer Bay of Fundy population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, New Brunswick",Fishes (marine),Addition,Pending,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Outer Bay of Fundy population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Outer Bay of Fundy population,Endangered,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, NB, Parks"
Atlantic Salmon,Quebec Eastern North Shore population,Special Concern,2010-11-26,Salmo salar,Atlantic Salmon,Quebec Eastern North Shore population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Quebec",Fishes (marine),Addition,Pending,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Quebec Eastern North Shore population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Quebec Eastern North Shore population,Special Concern,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, Parks, QC"
Atlantic Salmon,Quebec Western North Shore population,Special Concern,2010-11-26,Salmo salar,Atlantic Salmon,Quebec Western North Shore population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Quebec",Fishes (marine),Addition,Pending,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Quebec Western North Shore population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Quebec Western North Shore population,Special Concern,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, Parks, QC"
Atlantic Salmon,South Newfoundland population,Threatened,2010-11-26,Salmo salar,Atlantic Salmon,South Newfoundland population,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Newfoundland and Labrador",Fishes (marine),Addition,Pending,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (South Newfoundland population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,South Newfoundland population,Threatened,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, NL, Parks"
Atlantic Salmon,Southwest Newfoundland population,Not at Risk,2010-11-26,Salmo salar,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Atlantic Ocean, Newfoundland and Labrador, Quebec",Fishes (marine),NA,NA,2020-11-26,Aquatic,Salmo salar - Atlantic Salmon (Southwest Newfoundland population),Aquatic,Fishes (marine),Salmo salar,Atlantic Salmon ,Southwest Newfoundland population,Not at Risk,2025-November-01,"Atlantic Ocean, CMN, CWS, DFO, NL, Parks, QC"
Bull Trout,Pacific population,Not at Risk,2012-11-25,Salvelinus confluentus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Fishes (freshwater),NA,NA,2022-11-25,Aquatic,Salvelinus confluentus - Bull Trout (Pacific population),Aquatic,Fishes (freshwater),Salvelinus confluentus,Bull Trout ,Pacific population,Not at Risk,2025-April-01,"BC, CWS, DFO, Parks"
Bull Trout,Saskatchewan - Nelson Rivers population,Threatened,2012-11-25,Salvelinus confluentus,Bull Trout,Saskatchewan - Nelson Rivers population,Threatened,2019-08-08,Schedule 1,2019-08-08,Alberta,Fishes (freshwater),NA,Added to list,2022-11-25,Aquatic,Salvelinus confluentus - Bull Trout (Saskatchewan - Nelson Rivers population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bull Trout ,Saskatchewan-Nelson population,Threatened,9999-01-01,Salvelinus confluentus,NA,NA,NA,9999-01-01,NA,9999-01-01,"AB, CWS, DFO, Parks",Fishes (freshwater),NA,NA,9999-01-01,Aquatic,Salvelinus confluentus - Bull Trout (Saskatchewan-Nelson population),Aquatic,Fishes (freshwater),Salvelinus confluentus,Bull Trout ,Saskatchewan-Nelson population,Threatened,2025-April-01,"AB, CWS, DFO, Parks"
Bull Trout,South Coast British Columbia population,Special Concern,2012-11-25,Salvelinus confluentus,Bull Trout,South Coast British Columbia population,Special Concern,2019-08-08,Schedule 1,2019-08-08,British Columbia,Fishes (freshwater),NA,Added to list,2022-11-25,Aquatic,Salvelinus confluentus - Bull Trout (South Coast British Columbia population),Aquatic,Fishes (freshwater),Salvelinus confluentus,Bull Trout ,South Coast British Columbia population,Special Concern,2025-April-01,"BC, CWS, DFO, Parks, TAJFC, TWJFC"
Bull Trout,Upper Yukon River population,Data Deficient,2012-11-25,Salvelinus confluentus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"British Columbia, Yukon",Fishes (freshwater),NA,NA,2022-11-25,Aquatic,Salvelinus confluentus - Bull Trout (Upper Yukon River population),Aquatic,Fishes (freshwater),Salvelinus confluentus,Bull Trout ,Upper Yukon River population,Data Deficient,2025-April-01,"BC, CWS, DFO, Parks, YT"
Bull Trout,Western Arctic population,Special Concern,2012-11-25,Salvelinus confluentus,Bull Trout,Western Arctic population,Special Concern,2019-08-08,Schedule 1,2019-08-08,"Alberta, British Columbia, Northwest Territories, Yukon",Fishes (freshwater),NA,Added to list,2022-11-25,Aquatic,Salvelinus confluentus - Bull Trout (Western Arctic population),Aquatic,Fishes (freshwater),Salvelinus confluentus,Bull Trout ,Western Arctic population,Special Concern,2025-April-01,"AB, BC, CTRRC, CWS, DFO, GRRB, LRRC, NJFMC, NT, Parks, SRRB, TRRC, YFWMB, YT"
Aurora Trout,NA,Non-active,2011-05-06,Salvelinus fontinalis timagamiensis,Aurora Trout,NA,No Status,2017-04-13,No schedule,2003-06-05,Ontario,Fishes (freshwater),NA,Struck - WS invalid,2021-05-06,Aquatic,Salvelinus fontinalis timagamiensis - Aurora Trout,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Dolly Varden,Western Arctic population,Special Concern,2010-11-26,Salvelinus malma malma,Dolly Varden,Western Arctic population,Special Concern,2017-04-13,Schedule 1,2017-04-13,"Northwest Territories, Yukon",Fishes (freshwater),NA,Added to list,2020-11-26,Aquatic,Salvelinus malma malma - Dolly Varden (Western Arctic population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Blue Walleye,NA,Extinct,2000-05-01,Sander vitreus glaucus,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Fishes (freshwater),NA,NA,2010-05-01,Aquatic,Sander vitreus glaucus - Blue Walleye,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bert's Predaceous Diving Beetle,NA,Endangered,2022-12-03,Sanfilippodytes bertae,Bert's Predaceous Diving Beetle,NA,Endangered,2012-06-20,Schedule 1,2012-06-20,Alberta,Arthropods,NA,Added to list,2032-12-03,Terrestrial,Sanfilippodytes bertae - Bert's Predaceous Diving Beetle,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Bear's-foot Sanicle,NA,Threatened,2015-11-26,Sanicula arctopoides,Bear's-foot Sanicle,NA,Threatened,2019-02-25,Schedule 1,2003-06-05,British Columbia,Vascular Plants,NA,Downlisted: Endangered to threatened,2025-11-26,Terrestrial,Sanicula arctopoides - Bear's-foot Sanicle,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Purple Sanicle,NA,Threatened,2001-05-01,Sanicula bipinnatifida,Purple Sanicle,NA,Threatened,2003-06-05,Schedule 1,2003-06-05,British Columbia,Vascular Plants,NA,Added to list,2011-05-01,Terrestrial,Sanicula bipinnatifida - Purple Sanicle,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Pacific Sardine,NA,Not at Risk,2002-05-01,Sardinops sagax,Pacific Sardine,NA,NA,9999-01-01,NA,9999-01-01,Pacific Ocean,Fishes (marine),NA,NA,2012-05-01,Aquatic,Sardinops sagax - Pacific Sardine,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Behr's Hairstreak,NA,Endangered,2012-05-04,Satyrium behrii,Behr's Hairstreak,NA,Endangered,2017-02-03,Schedule 1,2003-06-05,British Columbia,Arthropods,NA,Uplisted: Threatened to endangered,2022-05-04,Terrestrial,Satyrium behrii - Behr's Hairstreak,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Northern Oak Hairstreak,NA,Threatened,2022-05-11,Satyrium favonius ontario,Northern Oak Hairstreak,NA,No Status,9999-01-01,No schedule,9999-01-01,Ontario,Arthropods,Addition,Pending,2032-05-11,Terrestrial,Satyrium favonius ontario - Northern Oak Hairstreak,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Half-moon Hairstreak,NA,Non-active,2022-12-03,Satyrium semiluna,Half-moon Hairstreak,NA,Endangered,2007-12-13,Schedule 1,2007-12-13,"Alberta, British Columbia",Arthropods,NA,Added to list,2032-12-03,Terrestrial,Satyrium semiluna - Half-moon Hairstreak,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Half-moon Hairstreak,Okanagan-Similkameen population,Threatened,2022-12-03,Satyrium semiluna,Half-moon Hairstreak,Okanagan-Similkameen population,No Status,9999-01-01,No schedule,9999-01-01,British Columbia,Arthropods,Addition,Pending,2032-12-03,Terrestrial,Satyrium semiluna - Half-moon Hairstreak (Okanagan-Similkameen population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Half-moon Hairstreak,Waterton Lakes population,Endangered,2022-12-03,Satyrium semiluna,Half-moon Hairstreak,Waterton Lakes population,No Status,9999-01-01,No schedule,9999-01-01,Alberta,Arthropods,Addition,Pending,2032-12-03,Terrestrial,Satyrium semiluna - Half-moon Hairstreak (Waterton Lakes population),NA,NA,NA,NA,NA,NA,9999-01-01,NA
Eastern Mole,NA,Special Concern,2010-11-26,Scalopus aquaticus,Eastern Mole,NA,Special Concern,2003-06-05,Schedule 1,2003-06-05,Ontario,Mammals (terrestrial),NA,Added to list,2020-11-26,Terrestrial,Scalopus aquaticus - Eastern Mole,Terrestrial,Mammals (terrestrial),Scalopus aquaticus,Eastern Mole,NA,Special Concern,9999-01-01,"CWS, ON, Parks"
Townsend's Mole,NA,Endangered,2014-11-28,Scapanus townsendii,Townsend's Mole,NA,Endangered,2005-01-12,Schedule 1,2005-01-12,British Columbia,Mammals (terrestrial),NA,Added to list,2024-11-28,Terrestrial,Scapanus townsendii - Townsend's Mole,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Gold-edged Gem,NA,Endangered,2016-11-27,Schinia avemensis,Gold-edged Gem,NA,Endangered,2007-12-13,Schedule 1,2007-12-13,"Alberta, Manitoba, Saskatchewan",Arthropods,NA,Added to list,2026-11-27,Terrestrial,Schinia avemensis - Gold-edged Gem,NA,NA,NA,NA,NA,NA,9999-01-01,NA
White Flower Moth,NA,Endangered,2014-11-28,Schinia bimatris,White Flower Moth,NA,Endangered,2006-08-15,Schedule 1,2006-08-15,Manitoba,Arthropods,NA,Added to list,2024-11-28,Terrestrial,Schinia bimatris - White Flower Moth,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Leadplant Flower Moth,NA,Not applicable,9999-01-01,Schinia lucens,NA,NA,NA,9999-01-01,NA,9999-01-01,"CMN, CWS, MB, Parks",Arthropods,NA,NA,9999-01-01,Terrestrial,Schinia lucens - Leadplant Flower Moth,Terrestrial,Arthropods,Schinia lucens,Leadplant Flower Moth,NA,Not applicable,9999-01-01,"CMN, CWS, MB, Parks"
Verna's Flower Moth,NA,Threatened,2017-11-01,Schinia verna,Verna's Flower Moth,NA,Threatened,2009-03-05,Schedule 1,2009-03-05,"Alberta, Manitoba, Saskatchewan",Arthropods,NA,Added to list,2027-11-01,Terrestrial,Schinia verna - Verna's Flower Moth,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Long's Bulrush,NA,Special Concern,2017-04-28,Scirpus longii,Long's Bulrush,NA,Special Concern,2021-08-12,Schedule 1,2021-08-12,Nova Scotia,Vascular Plants,NA,Added to list,2027-04-28,Terrestrial,Scirpus longii - Long's Bulrush,NA,NA,NA,NA,NA,NA,9999-01-01,NA
Fox Squirrel,NA,Not at Risk,1979-04-01,Sciurus niger,NA,NA,No Status,9999-01-01,No schedule,9999-01-01,"Manitoba, Ontario",Mammals (terrestrial),NA,NA,1989-04-01,Terrestrial,Sciurus niger - Fox Squirrel,NA,NA,NA,NA,NA,NA,9999-01-01,NA
