"unique_id","COSEWIC common name","COSEWIC population","COSEWIC status","COSEWIC last assessment date","Scientific name","Legal common name","Legal population","Schedule status","Last status change","SARA schedule","Date added","Range","Taxonomic group","Under consideration for","GIC decision","Domain","Estimated re-assessment"
"Onc_tsh_Sou","Chinook Salmon","Southern Mainland, Ocean, Summer population","Data Deficient",2018-11-01,"Oncorhynchus tshawytscha",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)",NA,NA,"Aquatic",2028-11-01
"Onc_tsh_Sou","Chinook Salmon","Southern Mainland, Stream, Summer population","Data Deficient",2018-11-01,"Oncorhynchus tshawytscha",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)",NA,NA,"Aquatic",2028-11-01
"Onc_tsh_Upp","Chinook Salmon","Upper Fraser, Stream, Spring population","Endangered",2018-11-01,"Oncorhynchus tshawytscha","Chinook Salmon","Upper Fraser, Stream, Spring population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2028-11-01
"Onc_tsh_Wes","Chinook Salmon","West Vancouver Island, Ocean, Fall (Nootka & Kyuquot) population","Threatened",2020-11-04,"Oncorhynchus tshawytscha","Chinook Salmon","West Vancouver Island, Ocean, Fall (Nootka & Kyuquot) population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2030-11-04
"Onc_tsh_Wes","Chinook Salmon","West Vancouver Island, Ocean, Fall (South) population","Threatened",2020-11-04,"Oncorhynchus tshawytscha","Chinook Salmon","West Vancouver Island, Ocean, Fall (South) population","No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)","Addition","Pending","Aquatic",2030-11-04
"Onc_tsh_Wes","Chinook Salmon","West Vancouver Island, Ocean, Fall (WVI + WQCI) population","Data Deficient",2020-11-04,"Oncorhynchus tshawytscha",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia, Pacific Ocean","Fishes (marine)",NA,NA,"Aquatic",2030-11-04
"Acr_alu_gen","Chiselmouth","general","Not at Risk",2003-05-01,"Acrocheilus alutaceus",NA,NA,"No Status",NA,"No schedule",NA,"British Columbia","Fishes (freshwater)",NA,NA,"Aquatic",2013-05-01
"Cas_rup_gen","Cliff Paintbrush","general","Threatened",2005-05-05,"Castilleja rupicola","Cliff Paintbrush",NA,"Threatened",2006-08-15,"Schedule 1",2006-08-15,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2015-05-05
"Mic_big_gen","Coast Microseris","general","Endangered",2006-04-29,"Microseris bigelovii","Coast Microseris",NA,"Endangered",2007-12-13,"Schedule 1",2007-12-13,"British Columbia","Vascular Plants",NA,"Added to list","Terrestrial",2016-04-29
"Dic_ten_gen","Coastal Giant Salamander","general","Threatened",2014-05-02,"Dicamptodon tenebrosus","Coastal Giant Salamander",NA,"Threatened",2003-06-05,"Schedule 1",2003-06-05,"British Columbia","Amphibians",NA,"Added to list","Terrestrial",2024-05-02
