Unique_ID,Domain,Taxonomic group,Scientific name,COSEWIC common name,Candidate list,Priority,Date nominated,Rationale
Lasionycta macleani - (common name not available),Terrestrial,Arthropods,Lasionycta macleani,(common name not available),SSC,SSC - Group 2,9999,NA
Lichenoidium sirosiphoidium - Parasitic Velvet Lichen,Terrestrial,Lichens,Lichenoidium sirosiphoidium,Parasitic Velvet Lichen,SSC,SSC - Group 3,9999,NA
Limosa fedoa - Marbled Godwit,Terrestrial,Birds,Limosa fedoa,Marbled Godwit,COSEWIC,COSEWIC - Group 1,2021,"The Marbled Godwit is a large shorebird that nests in three disjunct areas; by far the largest population in the grasslands and parklands of the northern Great Plains (~170,000 mature individuals, 60% of which are in Canada), with two small, disjunct nesting populations in Alaska and James Bay (~2,000 mature individuals each). Data from the Breeding Bird Survey for the well-monitored midcontinent population indicate a decline of 42% over the past three generations, with the annual rate of decline accelerating to -4.5% over the past decade. Threats underlying this decline are not well known, although the rapid pace of grassland loss, as well as wetland drainage, are likely key factors. Threats on migration and in overwintering areas include the loss of wetland habitat, collisions with power lines and other infrastructure, human disturbance, contamination (including oil spills), climate-change and sea-level rise."
Litaneutria minor - Minor Ground Mantid,Terrestrial,Arthropods,Litaneutria minor,Minor Ground Mantid,SSC,SSC - Group 2,9999,NA
Lithobates sylvaticus - Wood Frog,Terrestrial,Amphibians,Lithobates sylvaticus,Wood Frog,SSC,SSC - Group 3,9999,NA
Lycaena editha - Edith's Copper,Terrestrial,Arthropods,Lycaena editha,Edith's Copper,SSC,SSC - Group 2,9999,NA
Malaxis monophyllos monophyllos - Eurasian White Adder's-mouth,Terrestrial,Vascular plants,Malaxis monophyllos monophyllos,Eurasian White Adder's-mouth,SSC,SSC - Group 1,9999,NA
Margariscus nachtiebi - Northern Pearl Dace,Aquatic,Fishes (freshwater),Margariscus nachtiebi,Northern Pearl Dace,SSC,SSC - Group 3,9999,NA
Mastigophora woodsii - Woods Whipwort,Terrestrial,Mosses,Mastigophora woodsii,Woods Whipwort,SSC,SSC - Group 2,9999,NA
Megaphorus willistoni - Northern Beebandit,Terrestrial,Arthropods,Megaphorus willistoni,Northern Beebandit,SSC,SSC - Group 2,2024,"Klaza Draba is a small, long-lived, cushion forming mustard endemic to Canada where it is known from Langham and Tritop mountains in southwestern Yukon. It has been found in rocky tundra on unglaciated volcanic (andesite) bedrock dominated by moss and lichens amongst mountain avens / arctic willow tundra. Most of the global population occurs on Langham Mountain where the full extent of the population is not known. At Tritop Mountain the habitat is restricted to a small area (<2 km2) that has been disturbed by exploration activities in the past and the remaining habitat is subject to shrubification. The Langham subpopulation covers a larger area but is subject to the same threats. Most of the surrounding habitat is forested or covered in shrubs making it unsuitable for this species."
Melanoplus digitifer - (common name not available),Terrestrial,Arthropods,Melanoplus digitifer,(common name not available),SSC,SSC - Group 2,9999,NA
Melanoplus rugglesi - (common name not available),Terrestrial,Arthropods,Melanoplus rugglesi,(common name not available),SSC,SSC - Group 2,9999,NA
Metator nevadensis - (common name not available),Terrestrial,Arthropods,Metator nevadensis,(common name not available),SSC,SSC - Group 2,9999,NA
Metrius contractus contractus - Contracted Bombing Beetle,Terrestrial,Arthropods,Metrius contractus contractus,Contracted Bombing Beetle,SSC,SSC - Group 2,9999,NA
Mirounga angustirostris - Northern Elephant Seal,Aquatic,Mammals (marine),Mirounga angustirostris,Northern Elephant Seal,SSC,SSC - Group 3,9999,NA
Myotis thysanodes - (common name not available),Terrestrial,Mammals (terrestrial),Myotis thysanodes,(common name not available),SSC,SSC - Group 2,9999,NA
Myotis thysanodes - Fringed Bat,Terrestrial,Mammals (terrestrial),Myotis thysanodes,Fringed Bat,SSC,SSC - Group 3,9999,NA
Nebria charlottae - (common name not available),Terrestrial,Arthropods,Nebria charlottae,(common name not available),SSC,SSC - Group 2,9999,NA
Nebria louisae - Gwaii Haanas Ground Beetle,Terrestrial,Arthropods,Nebria louisae,Gwaii Haanas Ground Beetle,SSC,SSC - Group 2,9999,NA
Nemomydas pantherinus - Tiger Mydas Fly,Terrestrial,Arthropods,Nemomydas pantherinus,Tiger Mydas Fly,COSEWIC,COSEWIC - Group 1,2024,"This large milkweed is restricted in Canada to tallgrass prairie remnants in Windsor, Ontario. There are only a few extant subpopulations and less than 40 plants probably remain. Potential threats include transportation and utility corridors, invasive species and other ecosystem modifications such as drainage and mowing."
Nicocles rufus - (common name not available),Terrestrial,Arthropods,Nicocles rufus,(common name not available),SSC,SSC - Group 2,9999,NA
Niebla cephalota - Powdery Fog Lichen,Terrestrial,Lichens,Niebla cephalota,Powdery Fog Lichen,SSC,SSC - Group 3,9999,NA
Omus dejeanii - (common name not available),Terrestrial,Arthropods,Omus dejeanii,(common name not available),SSC,SSC - Group 2,9999,NA
Oncorhynchus clarkii clarkii - Coastal Cutthroat Trout,Aquatic,Fishes (freshwater),Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,SSC,SSC - Group 1,9999,NA
Oncorhynchus gorbuscha - Pink Salmon (Central Coast population),Aquatic,Fishes (marine),Oncorhynchus gorbuscha,Pink Salmon (Central Coast population),SSC,SSC - Group 2,9999,NA
Oncorhynchus gorbuscha - Pink Salmon (Haida Gwaii population),Aquatic,Fishes (marine),Oncorhynchus gorbuscha,Pink Salmon (Haida Gwaii population),SSC,SSC - Group 1,9999,NA
Oncorhynchus gorbuscha - Pink Salmon (Skeena River population),Aquatic,Fishes (marine),Oncorhynchus gorbuscha,Pink Salmon (Skeena River population),SSC,SSC - Group 1,9999,NA
Oncorhynchus gorbuscha - Pink Salmon (Vancouver Island and Mainland Inlets),Aquatic,Fishes (marine),Oncorhynchus gorbuscha,Pink Salmon (Vancouver Island and Mainland Inlets),SSC,SSC - Group 2,9999,NA
Oncorhynchus keta - Chum Salmon (Central Coast population),Aquatic,Fishes (marine),Oncorhynchus keta,Chum Salmon (Central Coast population),SSC,SSC - Group 1,9999,NA
Oncorhynchus keta - Chum Salmon (Haida Gwaii population),Aquatic,Fishes (marine),Oncorhynchus keta,Chum Salmon (Haida Gwaii population),SSC,SSC - Group 1,9999,NA
Oncorhynchus keta - Chum Salmon (Skeena River population),Aquatic,Fishes (marine),Oncorhynchus keta,Chum Salmon (Skeena River population),SSC,SSC - Group 1,9999,NA
